client_id,joined,income,credit_score
31401,2007-12-14,96450,657
35172,2002-07-06,118213,641
25027,2003-11-25,105857,736
47076,2006-08-05,168491,822
39003,2009-04-11,72072,519
30669,2011-08-27,33942,726
35199,2003-07-02,92263,716
32835,2006-03-21,197902,608
40685,2007-09-24,67591,644
30805,2005-03-13,171176,717
31940,2009-11-24,73360,843
42856,2000-07-16,93908,528
36701,2000-03-14,115859,623
28535,2014-03-06,175864,657
49106,2007-08-24,183852,579
34593,2002-08-12,50819,777
27956,2013-03-27,186804,666
47055,2005-06-15,47144,678
26051,2013-10-09,43251,804
36547,2000-09-26,238163,804
29836,2002-10-25,131713,829
39013,2011-05-07,38117,545
33979,2002-03-21,108758,696
28936,2005-04-17,59064,723
35652,2011-04-07,36423,786
